        Date           ibcm1  
2023-10-10 08:18:43    13.9913
2023-10-10 08:18:45    14.0021
2023-10-10 08:18:47    14.0261
2023-10-10 08:18:49    14.0047
2023-10-10 08:18:51    13.9033
2023-10-10 08:18:55    13.9761
2023-10-10 08:18:57    13.6941
2023-10-10 08:18:59    13.9188
2023-10-10 08:19:01    14.0488
2023-10-10 08:19:03    14.1812
2023-10-10 08:19:05    14.0802
2023-10-10 08:19:07    13.7954
2023-10-10 08:19:09    13.9633
2023-10-10 08:19:11    13.8276
2023-10-10 08:19:13    13.8379
2023-10-10 08:19:15    14.1494
2023-10-10 08:19:17    14.0033
2023-10-10 08:19:19    13.3488
2023-10-10 08:19:21    13.5697
2023-10-10 08:19:23    13.8374
2023-10-10 08:19:25    13.6295
2023-10-10 08:19:27    13.5324
2023-10-10 08:19:31    13.3586
2023-10-10 08:19:33    13.5815
2023-10-10 08:19:35    13.4944
2023-10-10 08:19:37    13.6822
2023-10-10 08:19:39    13.7746
2023-10-10 08:19:41    13.5541
2023-10-10 08:19:43    13.6375
2023-10-10 08:19:45    13.8561
2023-10-10 08:19:47    13.7195
2023-10-10 08:19:49    14.2124
2023-10-10 08:19:51     14.256
2023-10-10 08:19:55    14.1747
2023-10-10 08:19:57    14.2871
2023-10-10 08:19:59    14.2203
2023-10-10 08:20:01    14.3593
2023-10-10 08:20:05    14.1815
2023-10-10 08:20:07    14.1607
2023-10-10 08:20:09    14.3062
2023-10-10 08:20:11    14.4402
2023-10-10 08:20:13    14.4624
2023-10-10 08:20:15    14.1326
2023-10-10 08:20:19    14.2386
2023-10-10 08:20:21    14.0494
2023-10-10 08:20:23    13.8099
2023-10-10 08:20:25     13.568
2023-10-10 08:20:27    13.7049
2023-10-10 08:20:29    13.6161
2023-10-10 08:20:31    13.7612
2023-10-10 08:20:33    13.5981
2023-10-10 08:20:35    13.9375
2023-10-10 08:20:37    13.7455
2023-10-10 08:20:39    14.0117
2023-10-10 08:20:41    13.9902
2023-10-10 08:20:43    14.0598
2023-10-10 08:20:45    13.8761
2023-10-10 08:20:47    13.9475
2023-10-10 08:20:49    14.0749
2023-10-10 08:20:51    14.1891
2023-10-10 08:20:53    14.1007
2023-10-10 08:20:55    13.9383
2023-10-10 08:20:57     14.274
2023-10-10 08:20:59    13.9858
2023-10-10 08:21:01    14.4753
2023-10-10 08:21:03    14.2886
2023-10-10 08:21:05    14.0187
2023-10-10 08:21:07     14.092
2023-10-10 08:21:09    14.1394
2023-10-10 08:21:11    14.1755
2023-10-10 08:21:13    14.3397
2023-10-10 08:21:15    14.1462
2023-10-10 08:21:17    13.9249
2023-10-10 08:21:19    14.1092
2023-10-10 08:21:21    13.8292
2023-10-10 08:21:23    13.7238
2023-10-10 08:21:25    13.8225
2023-10-10 08:21:27    13.7881
2023-10-10 08:21:29    13.6833
2023-10-10 08:21:31      14.01
2023-10-10 08:21:33    13.7956
2023-10-10 08:21:35    13.8177
2023-10-10 08:21:37    13.9258
2023-10-10 08:21:39     14.027
2023-10-10 08:21:41    14.0971
2023-10-10 08:21:43    14.0341
2023-10-10 08:21:45    13.7711
2023-10-10 08:21:51    13.8551
2023-10-10 08:21:53    13.9516
2023-10-10 08:21:55    14.3499
