        Date        hcnps_intlk_chiller_CZ_read_chiller_temp
2023-11-09 10:32:42                                    20.01
2023-11-09 10:33:35                                    20.04
2023-11-09 10:34:02                                    20.01
2023-11-09 10:35:50                                    20.04
2023-11-09 10:38:05                                    19.99
2023-11-09 10:38:59                                    20.03
2023-11-09 10:39:25                                       20
2023-11-09 10:40:46                                    20.03
2023-11-09 10:41:40                                    19.97
2023-11-09 10:42:34                                    20.01
2023-11-09 10:43:28                                    19.96
2023-11-09 10:45:15                                    19.93
2023-11-09 10:46:36                                    19.97
2023-11-09 10:47:03                                    19.92
2023-11-09 10:47:30                                    19.97
2023-11-09 10:55:34                                       20
2023-11-09 10:57:22                                    20.04
2023-11-09 10:58:43                                    20.07
2023-11-09 11:03:39                                    20.02
2023-11-09 11:04:32                                    20.05
2023-11-09 11:05:53                                    20.02
2023-11-09 11:07:14                                    19.97
2023-11-09 11:07:41                                       20
2023-11-09 11:09:02                                    19.97
2023-11-09 11:10:49                                    19.92
2023-11-09 11:11:16                                    19.97
2023-11-09 11:13:04                                    19.93
2023-11-09 11:13:31                                    19.99
2023-11-09 11:14:25                                    19.96
2023-11-09 11:15:18                                    19.99
2023-11-09 11:17:06                                    20.01
2023-11-09 11:18:00                                    19.98
2023-11-09 11:19:21                                    20.01
2023-11-09 11:22:29                                    19.99
2023-11-09 11:24:44                                    20.01
2023-11-09 11:25:10                                    19.96
2023-11-09 11:25:37                                    19.99
2023-11-09 11:26:31                                    20.02
2023-11-09 11:29:40                                    19.98
2023-11-09 11:31:00                                    19.93
2023-11-09 11:31:27                                    19.96
2023-11-09 11:32:48                                    19.91
2023-11-09 11:33:15                                    19.96
2023-11-09 11:35:03                                    19.99
2023-11-09 11:35:29                                    20.03
2023-11-09 11:36:23                                       20
2023-11-09 11:37:17                                    20.04
2023-11-09 11:39:32                                    20.07
2023-11-09 11:40:26                                    20.04
2023-11-09 11:43:07                                    20.07
2023-11-09 11:43:34                                    20.02
2023-11-09 11:44:28                                    20.06
2023-11-09 11:49:24                                    20.03
2023-11-09 11:50:18                                    20.06
2023-11-09 11:51:12                                    20.03
2023-11-09 11:56:35                                    19.99
2023-11-09 11:57:02                                    20.02
2023-11-09 11:57:55                                    19.98
2023-11-09 11:59:16                                    20.01
2023-11-09 11:59:43                                    19.95
2023-11-09 12:00:10                                    19.92
2023-11-09 12:01:31                                    19.95
2023-11-09 12:03:18                                    19.98
2023-11-09 12:04:39                                    20.01
2023-11-09 12:05:33                                    19.99
2023-11-09 12:06:00                                    20.01
2023-11-09 12:07:20                                    19.97
2023-11-09 12:07:47                                    20.01
2023-11-09 12:10:02                                    20.04
2023-11-09 12:10:56                                    19.99
2023-11-09 12:11:50                                    20.01
2023-11-09 12:13:37                                    20.04
2023-11-09 12:14:04                                    20.01
2023-11-09 12:17:13                                    20.04
2023-11-09 12:21:15                                    20.08
2023-11-09 12:21:42                                    20.05
2023-11-09 12:27:32                                    20.01
2023-11-09 12:28:26                                    20.04
2023-11-09 12:30:40                                    20.01
2023-11-09 12:32:01                                    20.04
2023-11-09 12:32:28                                    20.01
2023-11-09 12:34:15                                    19.97
2023-11-09 12:36:03                                    20.01
2023-11-09 12:36:30                                    19.97
2023-11-09 12:36:57                                       20
2023-11-09 12:38:18                                    19.97
2023-11-09 12:39:11                                       20
2023-11-09 12:39:38                                    19.95
2023-11-09 12:40:59                                    19.98
2023-11-09 12:41:53                                    19.95
2023-11-09 12:42:20                                    19.92
2023-11-09 12:42:47                                    19.95
2023-11-09 12:43:14                                    19.98
2023-11-09 12:46:22                                    20.02
2023-11-09 12:50:24                                    20.05
2023-11-09 12:51:18                                    20.02
2023-11-09 12:51:45                                    20.05
2023-11-09 12:55:47                                    20.08
2023-11-09 12:56:14                                    20.05
2023-11-09 12:56:41                                    20.02
2023-11-09 12:57:35                                    20.07
2023-11-09 13:02:04                                    20.04
2023-11-09 13:06:06                                       20
2023-11-09 13:07:00                                    19.97
2023-11-09 13:08:48                                    19.93
2023-11-09 13:10:09                                    19.96
2023-11-09 13:10:35                                    19.93
2023-11-09 13:11:56                                       20
2023-11-09 13:16:52                                    20.03
2023-11-09 13:17:19                                    20.06
2023-11-09 13:18:40                                    20.02
2023-11-09 13:19:07                                    20.06
2023-11-09 13:21:48                                    20.03
2023-11-09 13:22:15                                    20.07
2023-11-09 13:24:03                                    20.04
2023-11-09 13:35:16                                    20.01
2023-11-09 13:35:43                                    20.04
2023-11-09 13:37:58                                    19.99
2023-11-09 13:38:51                                    20.01
2023-11-09 13:44:41                                    20.04
2023-11-09 13:45:35                                       20
2023-11-09 13:46:29                                    20.04
2023-11-09 13:50:58                                       20
2023-11-09 13:51:52                                    20.04
2023-11-09 13:52:46                                    19.99
2023-11-09 13:53:13                                    19.95
2023-11-09 13:54:06                                    19.99
2023-11-09 13:55:54                                    20.01
2023-11-09 13:56:21                                    19.99
2023-11-09 13:57:15                                    20.01
2023-11-09 13:58:36                                    19.98
2023-11-09 13:59:29                                    20.02
2023-11-09 13:59:56                                    19.99
2023-11-09 14:00:23                                    19.96
2023-11-09 14:03:59                                    19.93
